,best_epoc,train_accuracy,train_loss,validation_accuracy,validation_loss,test_accuracy,test_loss,data preparation time,train_extract_time,test_extract_time,fit_time
ma_no_aug,93,0.9666666388511658,0.32941022515296936,0.9230769276618958,0.4496588706970215,0.8666666746139526,0.5222463607788086,0.000997304916381836,343.6823995113373,40.60401010513306,24.33806586265564
Inc_v3_no_aug,57,0.8999999761581421,0.47966915369033813,0.9230769276618958,0.49213606119155884,0.800000011920929,0.5508661866188049,0.000997781753540039,393.13286328315735,39.62740683555603,25.86541986465454
ma_aug,66,0.8502772450447083,0.3522084653377533,0.8841201663017273,0.5359376072883606,0.8333333134651184,0.5413477420806885,0.001995086669921875,1898.3469424247742,191.5658781528473,115.07057476043701
Inc_v3_aug,217,0.8484288454055786,0.3367673456668854,0.8197425007820129,0.4990028440952301,0.8888888955116272,0.47345954179763794,0.0031273365020751953,2226.949643611908,268.76561069488525,214.1832218170166
